mean,std,min,max,range,energy,length,record,event
0.12116754346613082,0.032031424677534795,-0.052496570935415814,0.4275115332068389,0.4800081041422547,1413.6827180840355,90000,003c13,0115
0.12044435934097979,0.035698145402799794,-0.07446943503641108,0.35721175332750155,0.4316811883639126,1420.3081154032652,90000,003c13,0126
,,,,,,90000,004bad,0015
15.124443485514895,5.197757621045188,4.127985704247204,34.191554158103266,30.06356845385606,23018892.753030054,90000,004bad,1115
16.441570114476626,5.28375068290889,6.916714685949492,38.308630015947855,31.391915329998362,26841892.419755206,90000,004bad,1426
,,,,,,90000,004bad,2348
11.924140439440656,2.3496021916009227,7.185993140464159,19.180155845347922,11.994162704883763,13293518.011045188,90000,004f0c,2475
17.857847491017093,3.872578974204821,8.978343897199558,29.275922512880893,20.297578615681335,30050962.643149085,90000,004f0c,2533
0.7963238388104206,0.385351066400111,-1.7330334946662453,3.7157669633077433,5.448800457973989,70436.43905701206,90000,004f0c,3642
0.7993910027939503,0.4462175630130964,-1.73305026061171,4.983352615391018,6.716402876002729,75432.24800003375,90000,004f0c,3644
0.10958171508001037,0.05955673614542447,-0.2349985042977642,0.5790510970497956,0.8140496013475598,1399.9641390155057,90000,004fdb,0105
0.9088878381286855,0.2700883144255785,-0.10507101521652654,2.1076229529156825,2.212693968132209,80912.2319898737,90000,0057fe,0800
0.9089100334922289,0.26977314781362594,-0.10507101521652654,2.1076229529156825,2.212693968132209,80900.55002377054,90000,0057fe,0801
0.9514412391789827,0.4562375564889552,-3.2743017735340088,5.667764779600974,8.942066553134982,100205.38256053055,90000,0057fe,0811
0.9383932782478175,0.4855513064499022,-4.621052641691875,5.66770237745596,10.288755019147835,100470.78142703034,90000,0057fe,0814
0.928225909207922,0.49582620209922423,-4.621052641691875,5.66770237745596,10.288755019147835,99670.22650917125,90000,0057fe,0815
15.799729899467826,3.788849353812349,8.885177363893776,24.438713557909804,15.553536194016027,23758815.98898197,90000,0060de,0560
14.157742229002409,3.9684777079760143,4.698128065336561,30.603364115646052,25.90523605030949,19457143.230742253,90000,0060de,1731
14.500770928019135,3.9260755835942076,-0.4276170439490806,25.43224489703641,25.85986194098549,20311778.42954815,90000,009145,0042
0.8958871263737614,0.918790711296417,-6.673764935326117,8.270776587725072,14.944541523051189,148211.1102930131,90000,009907,0708
0.9527871824127038,0.23871139740929673,0.13597496307205909,2.248599134569819,2.11262417149776,86830.78916007344,90000,009907,0757
0.12791830755775038,0.10850330746342415,-1.167299119968875,1.189041482699899,2.356340602668774,2532.245502504742,90000,009bf0,0021
0.11937735984593746,0.07355063183377597,-1.3632524240752073,1.0874801423240865,2.450732566399294,1769.4584538240697,90000,009bf0,0024
0.13561145714619996,0.11439267447737507,-0.37991931304321314,1.0366297589547266,1.41654907199794,2832.8536155062093,90000,009bf0,0662
0.9212279520915789,0.3140921807420952,0.08481042336248872,1.6872985502342093,1.6024881268717206,85258.33539463527,90000,012473,0351
14.410632570946035,2.7282442603055865,9.099350079505614,23.296732499507073,14.197382420001459,19359868.30548311,90000,012c46,0086
13.516974351570408,3.71159863838636,6.017878624581349,25.591244601771226,19.573365977189876,17683610.40661354,90000,015f23,0512
0.12421927398924405,0.24650138143182937,-14.438153723781934,11.020854798178496,25.459008521960428,6857.402317039361,90000,017841,0105
0.12310398719429277,0.031996917109167966,-0.2256194087884634,0.3416332631793872,0.5672526719678506,1456.0554930861204,90000,0179fd,1194
0.12439963502846012,0.06838306507792417,-0.5710415429810193,1.1412177099936909,1.71225925297471,1813.6361506199123,90000,0179fd,1265
0.11562135171323587,0.039542125442027995,-0.08078741596633303,0.30818330274230515,0.3889707187086382,1343.868899082198,90000,0179fd,2773
0.9279291239004576,0.18074743563492893,-0.0960993237258797,1.8793171902958286,1.9754165140217084,80434.9885024146,90000,0183b7,0219
12.109589456881805,4.306000386516413,-11.222773357795434,28.2287483854362,39.45152174323164,14866541.65286122,90000,01a952,1067
3.9964500428829415,4.1462847581913875,-13.881498489149655,21.000987401886295,34.88248589103595,2984696.1217142353,90000,01a952,2485
6.265522751468403,7.974612128414778,-21.462698972786246,54.63457708684208,76.09727605962833,9256609.255304541,90000,01a952,2516
11.485415468191015,2.649918075412562,4.453116559277213,31.659666978332268,27.206550419055056,12504315.085502367,90000,01a952,3291
-31.863982120171734,39.1119954880343,-79.91733278677324,9.96507807096761,89.88241085774085,229055539.28495756,90000,01d569,0333
0.12249735574166451,0.05390807228143804,-0.18495596786899293,0.4840959992511644,0.6690519671201574,1612.0514178720593,90000,01e98d,0143
0.11575829935574194,0.10598523273609911,-1.7995905408066026,1.5342434436885337,3.3338339844951363,2216.9568085072797,90000,020311,0069
0.11729067149201482,0.09266492612665712,-1.0534914411784329,0.44774203075315633,1.5012334719315892,2010.95011377959,90000,020311,0074
16.897705235495255,3.065219597083245,10.316196108236745,26.53739217947852,16.221196071241774,26543521.206362426,90000,022448,0120
,,,,,,90000,022448,0221
16.934134718414633,2.787931881061221,11.655191037984626,24.952262002563366,13.29707096457874,26508373.455136813,90000,0228b7,0017
16.855122416825328,2.8894196464571245,12.386849767966027,33.50160098766492,21.114751219698896,26319950.782155007,90000,0228b7,0018
,,,,,,90000,022a37,0057
